date, GDP Growth (%), Annual Change
1991,1.4189,-1.49
1992,1.7639,0.35
1993,1.5311,-0.23
1994,3.0012,1.47
1995,3.0366,0.04
1996,3.3845,0.35
1997,3.4661,0.08
1998,2.5573,-0.91
1999,3.2492,0.69
2000,4.3881,1.14
2001,1.9608,-2.43
2002,2.1824,0.22
2003,2.9659,0.78
2004,4.4084,1.44
2005,3.9161,-0.49
2006,4.3782,0.46
2007,4.3221,-0.06
2008,1.8523,-2.47
2009,-1.6736,-3.53
2010,4.303,5.98
2011,3.1378,-1.17
2012,2.5185,-0.62
2013,2.666,0.15
2014,2.8611,0.2
2015,2.8739,0.01
2016,2.6058,-0.27
2017,3.2986,0.69
2018,2.9768,-0.32
2019,2.3646,-0.61
